Image Filename,Coefficients
212.png,[ 0.2138531  -0.44234264  0.1429573  -0.18222585]
213.png,[ 0.21224266 -0.42848262  0.13081527 -0.18166629]
214.png,[ 1.13636016 -2.48473362  1.66981023 -0.60826415]
215.png,[ 0.33219186 -0.64659551  0.2594044  -0.20962914]
216.png,[ 0.33046714 -0.62965752  0.24232605 -0.20747003]
217.png,[ 0.32482078 -0.60860774  0.22509927 -0.20561955]
218.png,[ 0.17307334 -0.27823282 -0.00036972 -0.16035777]
219.png,[ 1.14413354 -2.46818273  1.65272832 -0.61755209]
220.png,[ 0.27825951 -0.5004171   0.15744208 -0.20220902]
221.png,[ 0.2493615  -0.44578697  0.12705395 -0.19937314]
222.png,[ 0.28694484 -0.50757962  0.15584762 -0.20365714]
223.png,[ 0.22041386 -0.35429619  0.04995811 -0.18707417]
224.png,[ 0.16658045 -0.2440139  -0.01446053 -0.18180275]
225.png,[ 0.19118341 -0.27258485 -0.01087909 -0.18138868]
226.png,[ 0.37989192 -0.6370683   0.21225806 -0.22718041]
227.png,[ 1.33169817 -2.7453256   1.76957189 -0.64870689]
228.png,[ 0.16967912 -0.14590225 -0.16419631 -0.12917481]
229.png,[ 0.37841094 -0.59440433  0.1573966  -0.21851301]
230.png,[ 0.43224582 -0.68783418  0.20714694 -0.22831386]
231.png,[ 0.45203669 -0.70134484  0.19370422 -0.22248369]
232.png,[ 0.28939609 -0.32241988 -0.10131858 -0.13746123]
233.png,[ 0.26417822 -0.25083496 -0.15538437 -0.12917594]
234.png,[ 0.25960823 -0.23830698 -0.16096701 -0.13602281]
235.png,[ 0.2885163  -0.25382424 -0.18486702 -0.12264492]
236.png,[ 0.36704278 -0.39848511 -0.10063069 -0.1421913 ]
237.png,[ 0.39045114 -0.45547749 -0.04480693 -0.16433244]
238.png,[ 0.36896867 -0.3980471  -0.08832292 -0.15705115]
239.png,[ 0.31562524 -0.27753762 -0.16531822 -0.14711786]
240.png,[ 0.32767016 -0.27365604 -0.19218304 -0.13336677]
241.png,[ 0.41011752 -0.44599765 -0.08512775 -0.15735887]
242.png,[ 0.42996919 -0.46951698 -0.08946341 -0.14767597]
243.png,[ 0.4236245  -0.44895804 -0.10242361 -0.14859084]
244.png,[ 0.47415161 -0.53573761 -0.05775198 -0.15679576]
245.png,[ 0.47927945 -0.53690977 -0.0526879  -0.16662353]
246.png,[ 0.44175087 -0.46898372 -0.09105435 -0.15743007]
247.png,[ 0.44869839 -0.47667307 -0.08073906 -0.16844503]
248.png,[ 0.38034378 -0.33177032 -0.17899731 -0.14523195]
249.png,[ 0.41399347 -0.40348579 -0.12586464 -0.16272589]
250.png,[ 0.37422611 -0.31445216 -0.18252998 -0.1544317 ]
251.png,[ 0.369599   -0.29704668 -0.2067515  -0.1416338 ]
252.png,[ 0.2879949  -0.14355762 -0.27579178 -0.14455654]
253.png,[ 0.33685982 -0.20423147 -0.27215447 -0.13331052]
254.png,[ 0.33441418 -0.19503254 -0.27725053 -0.13409222]
255.png,[ 0.39733082 -0.30594487 -0.21880458 -0.14377044]
256.png,[ 0.39968189 -0.30353176 -0.21700094 -0.15189605]
257.png,[ 0.38985303 -0.27862465 -0.23515397 -0.14860908]
258.png,[ 0.39947575 -0.30399854 -0.21567073 -0.15391852]
259.png,[ 0.39395339 -0.27939691 -0.24708098 -0.13940011]
260.png,[ 0.31688421 -0.12151429 -0.34133253 -0.12612338]
261.png,[ 0.301334   -0.09815027 -0.34772559 -0.12765171]
262.png,[ 0.29249142 -0.10543555 -0.31541186 -0.14442095]
263.png,[ 0.35191574 -0.21270842 -0.23431055 -0.17475941]
264.png,[ 0.32259972 -0.14269012 -0.28260587 -0.16677232]
265.png,[ 0.29694704 -0.05482084 -0.35801111 -0.14560694]
