Image Filename,Coefficients
297.png,[-0.2202518   0.13028825 -0.05063205  0.10451307]
298.png,[-0.20382268  0.07329801  0.02000352  0.06740831]
299.png,[-0.17479684  0.0289852   0.03726739  0.06563908]
300.png,[-0.17054051  0.01893138  0.04123889  0.06495701]
301.png,[-0.30203108  0.2789009  -0.10943431  0.08636648]
302.png,[-0.37115971  0.37939595 -0.13429685  0.07834191]
303.png,[-0.37188307  0.43355344 -0.19456322  0.09113741]
304.png,[-0.34732286  0.39043886 -0.19728871  0.1189027 ]
305.png,[-0.36307186  0.45898403 -0.26167175  0.13197567]
306.png,[-0.24134861  0.24077079 -0.14390942  0.11222052]
307.png,[-0.25598138  0.27879155 -0.1755283   0.12003699]
308.png,[-0.08862161 -0.07758061  0.0657297   0.0678207 ]
309.png,[-0.06747702 -0.10659805  0.07824766  0.06622768]
310.png,[-0.08224982 -0.08496692  0.07399796  0.06310658]
311.png,[-0.08930894 -0.06884358  0.05930594  0.06781579]
312.png,[-0.24457211  0.20847452 -0.08683718  0.08504322]
313.png,[-0.27533374  0.27588213 -0.11859293  0.08070235]
314.png,[-0.26929112  0.26408395 -0.11199011  0.07967836]
315.png,[-0.26043263  0.24777505 -0.10329414  0.07838573]
316.png,[-0.1110259  -0.00997291  0.02192997  0.06158995]
317.png,[-0.08354139 -0.0480634   0.03518178  0.05991684]
318.png,[-0.0914414  -0.03121705  0.03202545  0.05803195]
319.png,[-0.12025732  0.05386349 -0.04079043  0.07205774]
320.png,[-0.10734813  0.03723471 -0.0349369   0.0712904 ]
321.png,[-0.05340664 -0.10239734  0.10726719  0.01088751]
322.png,[-0.19231879  0.15166538 -0.03679263  0.04490175]
323.png,[-0.20179995  0.1808966  -0.05703623  0.04846348]
324.png,[-0.19605122  0.1783441  -0.05770305  0.04874682]
325.png,[-0.17817287  0.14603633 -0.04157416  0.04649953]
326.png,[-0.17945995  0.15427413 -0.04833783  0.0471981 ]
327.png,[-0.02682746 -0.07310478  0.03352576  0.04047206]
328.png,[-0.02682746 -0.07310478  0.03352576  0.04047206]
329.png,[-0.02801238 -0.06958957  0.03017188  0.04112207]
330.png,[-0.15052443  0.16656267 -0.10393718  0.05913047]
331.png,[-0.02070784 -0.04298447 -0.01046984  0.0477668 ]
332.png,[-0.01794341 -0.04873694 -0.00625536  0.04642622]
333.png,[-0.00168817 -0.07028679  0.00169386  0.04621908]
334.png,[ 0.02823475 -0.11771183  0.02436889  0.04310515]
335.png,[ 0.04376738 -0.14423826  0.03841837  0.04041115]
336.png,[-0.09793444  0.11221415 -0.08945707  0.0579651 ]
337.png,[-0.0611121   0.05159025 -0.05950997  0.05373788]
338.png,[-0.04019989  0.03811374 -0.06138686  0.05513808]
339.png,[-0.0165221   0.00077891 -0.04290453  0.0519342 ]
340.png,[ 0.01465017 -0.0457788  -0.02475684  0.05102767]
341.png,[-0.12193683  0.2086533  -0.15649536  0.06967785]
342.png,[-0.06846006  0.11601443 -0.10817602  0.06322408]
343.png,[-0.04886193  0.04335244 -0.04218723  0.04935563]
